Time (s),Current (A),Voltage (V)
98.00000153,0,4.185
99.00000617,0,4.185
100.0000007,0,4.184
101.0000054,0,4.185
102,0,4.185
103.0000046,0,4.184
104.0000092,0,4.184
105.0000038,0,4.184
106.0000084,0,4.184
107.000003,0,4.184
108.0000076,0,4.184
109.0000022,0,4.184
110.0000069,0,4.184
111.0000014,0,4.184
112.0000061,0,4.184
113.0000006,0,4.184
114.0000053,0,4.184
114.9999999,0,4.184
116.0000045,0,4.184
117.0000091,0,4.184
118.0000037,0,4.184
119.0000083,0,4.184
120.0000029,0,4.183
121.0000075,0,4.183
122.0000021,0,4.183
123.0000068,0,4.183
124.0000013,0,4.183
125.000006,0,4.183
126.0000005,0,4.183
127.0000052,0,4.183
128.0000098,0,4.183
129.0000044,0,4.183
130.000009,0,4.183
131.0000036,0,4.183
132.0000082,0,4.183
133.0000028,0,4.183
134.0000074,0,4.183
135.000002,0,4.183
136.0000066,0,4.183
137.0000012,0,4.183
138.0000059,0,4.183
139.0000004,0,4.182
140.0000051,0,4.182
141.0000097,0,4.182
142.0000043,0,4.182
143.0000089,0,4.182
144.0000035,0,4.182
145.0000081,0,4.182
146.0000027,0,4.182
147.0000073,0,4.182
148.0000019,0,4.182
149.0000065,0,4.182
150.0000011,0,4.182
151.0000058,0,4.182
152.0000003,0,4.182
153.000005,0,4.182
154.0000096,0,4.182
155.0000042,0,4.182
156.0000088,0,4.182
157.0000034,0,4.182
158.000008,0,4.182
159.0000026,0,4.182
160.0000072,0,4.182
161.0000018,0,4.182
162.0000064,0,4.182
163.000001,0,4.181
164.0000056,0,4.181
165.0000002,0,4.181
166.0000049,0,4.181
167.0000095,0,4.181
168.0000041,0,4.181
169.0000087,0,4.181
170.0000033,0,4.181
171.0000079,0,4.181
172.0000025,0,4.181
173.0000071,0,4.181
174.0000017,0,4.181
175.0000063,0,4.181
176.0000009,0,4.181
177.0000055,0,4.181
178.0000001,0,4.181
179.0000048,0,4.181
180.0000094,0,4.181
181.000004,0,4.181
182.0000086,0,4.181
183.0000032,0,4.181
184.0000078,0,4.181
185.0000024,0,4.181
186.000007,0,4.18
187.0000016,0,4.181
188.0000062,0,4.181
189.0000008,0,4.18
190.0000054,0,4.18
191,0,4.18
192.0000046,0,4.18
193.0000093,0,4.18
194.0000039,0,4.18
195.0000085,0,4.18
196.0000031,0,4.18
197.0000077,0,4.18
198.0000023,0,4.18
199.0000069,0,4.18
200.0000015,0,4.18
201.0000061,0,4.18
202.0000007,0,4.18
203.0000053,0,4.18
203.9999999,0,4.18
205.0000045,0,4.18
206.0000092,0,4.18
207.0000038,0,4.18
208.0000084,0,4.18
209.000003,0,4.18
210.0000076,0,4.18
211.0000022,0,4.18
212.0000068,0,4.18
213.0000014,0,4.18
214.000006,0,4.179
215.0000006,0,4.179
216.0000052,0,4.179
216.9999998,0,4.179
218.0000044,0,4.179
219.0000091,0,4.179
220.0000037,0,4.179
221.0000083,0,4.179
222.0000029,0,4.179
223.0000075,0,4.179
224.0000021,0,4.179
225.0000067,0,4.179
226.0000013,0,4.179
227.0000059,0,4.179
228.0000005,0,4.179
229.0000051,0,4.179
230.0000098,0,4.179
231.0000043,0,4.179
232.000009,0,4.179
233.0000035,0,4.179
234.0000082,0,4.179
235.0000028,0,4.179
236.0000074,0,4.179
237.000002,0,4.179
238.0000066,0,4.179
239.0000012,0,4.179
240.0000058,0,4.178
241.0000004,0,4.178
242.000005,0,4.178
243.0000097,0,4.178
244.0000042,0,4.178
245.0000089,0,4.178
246.0000034,0,4.178
247.0000081,0,4.178
248.0000027,0,4.178
249.0000073,0,4.178
250.0000019,0,4.178
251.0000065,0,4.178
252.0000011,0,4.178
253.0000057,0,4.178
254.0000003,0,4.178
255.0000049,0,4.178
256.0000096,0,4.178
257.0000041,0,4.178
258.0000088,0,4.178
259.0000033,0,4.178
260.000008,0,4.178
261.0000025,0,4.178
262.0000072,0,4.178
263.0000018,0,4.178
264.0000064,0,4.177
265.000001,0,4.178
266.0000056,0,4.177
267.0000002,0,4.177
268.0000048,0,4.177
269.0000094,0,4.177
270.000004,0,4.177
271.0000087,0,4.177
272.0000032,0,4.177
273.0000079,0,4.177
274.0000024,0,4.177
275.0000071,0,4.177
276.0000017,0,4.177
277.0000063,0,4.177
278.0000009,0,4.177
279.0000055,0,4.177
280.0000001,0,4.177
281.0000047,0,4.177
282.0000093,0,4.177
283.0000039,0,4.177
284.0000086,0,4.177
285.0000031,0,4.177
286.0000078,0,4.177
287.0000023,0,4.177
288.000007,0,4.177
289.0000015,0,4.177
290.0000062,0,4.177
291.0000008,0,4.177
292.0000054,0,4.177
293,0,4.177
294.0000046,0,4.177
295.0000092,0,4.177
296.0000038,0,4.177
297.0000084,0,4.176
298.000003,0,4.176
299.0000077,0,4.176
300.0000022,0,4.176
301.0000069,0,4.176
302.0000014,0,4.176
303.0000061,0,4.176
304.0000007,0,4.176
305.0000053,0,4.176
305.9999999,0,4.176
307.0000045,0,4.176
308.0000091,0,4.176
309.0000037,0,4.176
310.0000083,0,4.176
311.0000029,0,4.176
312.0000076,0,4.176
313.0000021,0,4.176
314.0000068,0,4.176
315.0000013,0,4.176
316.000006,0,4.176
317.0000006,0,4.176
318.0000052,0,4.176
318.9999998,0,4.176
320.0000044,0,4.176
321.000009,0,4.176
322.0000036,0,4.176
323.0000082,0,4.176
324.0000028,0,4.176
325.0000075,0,4.176
326.000002,0,4.176
327.0000067,0,4.176
328.0000012,0,4.176
329.0000059,0,4.175
330.0000004,0,4.175
331.0000051,0,4.175
332.0000097,0,4.175
333.0000043,0,4.175
334.0000089,0,4.175
335.0000035,0,4.175
336.0000081,0,4.175
337.0000027,0,4.175
338.0000073,0,4.175
339.0000019,0,4.175
340.0000066,0,4.175
341.0000011,0,4.175
342.0000058,0,4.175
343.0000003,0,4.175
344.000005,0,4.175
345.0000096,0,4.175
346.0000042,0,4.175
347.0000088,0,4.175
348.0000034,0,4.175
349.000008,0,4.175
350.0000026,0,4.175
351.0000072,0,4.175
352.0000018,0,4.175
353.0000065,0,4.175
354.000001,0,4.175
355.0000057,0,4.175
356.0000002,0,4.175
357.0000049,0,4.175
358.0000095,0,4.175
359.0000041,0,4.175
360.0000087,0,4.175
361.0000033,0,4.175
362.0000079,0,4.175
363.0000025,0,4.175
364.0000071,0,4.175
365.0000017,0,4.175
366.0000063,0,4.174
367.0000009,0,4.174
368.0000056,0,4.174
369.0000001,0,4.174
370.0000048,0,4.174
371.0000094,0,4.174
372.000004,0,4.174
373.0000086,0,4.174
374.0000032,0,4.174
375.0000078,0,4.174
376.0000024,0,4.174
377.000007,0,4.174
378.0000016,0,4.174
379.0000062,0,4.174
380.0000008,0,4.174
381.0000055,0,4.174
382,0,4.174
383.0000047,0,4.174
384.0000093,0,4.174
385.0000039,0,4.174
386.0000085,0,4.174
387.0000031,0,4.174
388.0000077,0,4.174
389.0000023,0,4.174
390.0000069,0,4.174
391.0000015,0,4.174
392.0000061,0,4.174
393.0000007,0,4.174
394.0000053,0,4.174
394.9999999,0,4.174
396.0000046,0,4.174
397.0000092,0,4.174
398.0000038,0,4.173
399.0000084,0,4.173
400.000003,0,4.173
401.0000076,0,4.173
402.0000022,0,4.173
403.0000068,0,4.173
404.0000014,0,4.173
405.000006,0,4.173
406.0000006,0,4.173
407.0000052,0,4.173
407.9999998,0,4.173
409.0000045,0,4.173
410.0000091,0,4.173
411.0000037,0,4.173
412.0000083,0,4.173
413.0000029,0,4.173
414.0000075,0,4.173
415.0000021,0,4.173
416.0000067,0,4.173
417.0000013,0,4.173
418.0000059,0,4.173
419.0000005,0,4.173
420.0000051,0,4.173
421.0000098,0,4.173
422.0000044,0,4.173
423.000009,0,4.173
424.0000036,0,4.173
425.0000082,0,4.173
426.0000028,0,4.173
427.0000074,0,4.173
428.000002,0,4.173
429.0000066,0,4.172
430.0000012,0,4.173
431.0000058,0,4.173
432.0000004,0,4.172
433.000005,0,4.173
434.0000097,0,4.173
435.0000042,0,4.172
436.0000089,0,4.173
437.0000035,0,4.172
438.0000081,0,4.172
439.0000027,0,4.172
440.0000073,0,4.172
441.0000019,0,4.172
442.0000065,0,4.172
443.0000011,0,4.172
444.0000057,0,4.172
445.0000003,0,4.172
446.0000049,0,4.172
447.0000096,0,4.172
448.0000041,0,4.172
449.0000088,0,4.172
450.0000034,0,4.172
451.000008,0,4.172
452.0000026,0,4.172
453.0000072,0,4.172
454.0000018,0,4.172
455.0000064,0,4.172
456.000001,0,4.172
457.0000056,0,4.172
458.0000002,0,4.172
459.0000048,0,4.172
460.0000095,0,4.172
461.000004,0,4.172
462.0000087,0,4.172
463.0000032,0,4.172
464.0000079,0,4.172
465.0000025,0,4.172
466.0000071,0,4.172
467.0000017,0,4.172
468.0000063,0,4.172
469.0000009,0,4.172
470.0000055,0,4.172
471.0000001,0,4.172
472.0000047,0,4.171
473.0000094,0,4.172
474.0000039,0,4.171
475.0000086,0,4.172
476.0000031,0,4.171
477.0000078,0,4.171
478.0000024,0,4.171
479.000007,0,4.171
480.0000016,0,4.171
481.0000062,0,4.171
482.0000008,0,4.171
483.0000054,0,4.171
484,0,4.171
485.0000046,0,4.171
486.0000093,0,4.171
487.0000038,0,4.171
488.0000085,0,4.171
489.000003,0,4.171
490.0000077,0,4.171
491.0000023,0,4.171
492.0000069,0,4.171
493.0000015,0,4.171
494.0000061,0,4.171
495.0000007,0,4.171
496.0000053,0,4.171
496.9999999,0,4.171
498.0000045,0,4.171
499.0000091,0,4.171
500.0000037,0,4.171
501.0000084,0,4.171
502.0000029,0,4.171
503.0000076,0,4.171
504.0000021,0,4.171
505.0000068,0,4.171
506.0000014,0,4.171
507.000006,0,4.171
508.0000006,0,4.171
509.0000052,0,4.171
509.9999998,0,4.171
511.0000044,0,4.171
512.000009,0,4.171
513.0000036,0,4.171
514.0000083,0,4.171
515.0000028,0,4.171
516.0000075,0,4.17
517.000002,0,4.17
518.0000067,0,4.17
519.0000013,0,4.17
520.0000059,0,4.17
521.0000005,0,4.17
522.0000051,0,4.17
523.0000097,0,4.17
524.0000043,0,4.17
525.0000089,0,4.17
526.0000035,0,4.17
527.0000082,0,4.17
528.0000027,0,4.17
529.0000074,0,4.17
530.0000019,0,4.17
531.0000066,0,4.17
532.0000011,0,4.17
533.0000058,0,4.17
534.0000004,0,4.17
535.000005,0,4.17
536.0000096,0,4.17
537.0000042,0,4.17
538.0000088,0,4.17
539.0000034,0,4.17
540.000008,0,4.17
541.0000026,0,4.17
542.0000073,0,4.17
543.0000018,0,4.17
544.0000065,0,4.17
545.000001,0,4.17
546.0000057,0,4.17
547.0000003,0,4.17
548.0000049,0,4.17
549.0000095,0,4.17
550.0000041,0,4.17
551.0000087,0,4.17
552.0000033,0,4.17
553.0000079,0,4.17
554.0000025,0,4.169
555.0000072,0,4.17
556.0000017,0,4.17
557.0000064,0,4.17
558.0000009,0,4.17
559.0000056,0,4.17
560.0000001,0,4.17
561.0000048,0,4.17
562.0000094,0,4.17
563.000004,0,4.169
564.0000086,0,4.169
565.0000032,0,4.169
566.0000078,0,4.169
567.0000024,0,4.169
568.000007,0,4.169
569.0000016,0,4.169
570.0000063,0,4.169
571.0000008,0,4.169
572.0000055,0,4.169
573,0,4.169
574.0000047,0,4.169
575.0000093,0,4.169
576.0000039,0,4.169
577.0000085,0,4.169
578.0000031,0,4.169
579.0000077,0,4.169
580.0000023,0,4.169
581.0000069,0,4.169
582.0000015,0,4.169
583.0000062,0,4.169
584.0000007,0,4.169
585.0000054,0,4.169
585.9999999,0,4.169
587.0000046,0,4.169
588.0000092,0,4.169
589.0000038,0,4.169
590.0000084,0,4.169
591.000003,0,4.169
592.0000076,0,4.169
593.0000022,0,4.169
594.0000068,0,4.169
595.0000014,0,4.169
596.000006,0,4.169
597.0000006,0,4.169
598.0000053,0,4.169
598.9999998,0,4.169
600.0000045,0,4.169
601.0000091,0,4.169
602.0000037,0,4.169
603.0000083,0,4.169
604.0000029,0,4.169
605.0000075,0,4.169
606.0000021,0,4.169
607.0000067,0,4.169
608.0000013,0,4.169
609.0000059,0,4.169
610.0000005,0,4.168
611.0000052,0,4.168
612.0000098,0,4.168
613.0000044,0,4.168
614.000009,0,4.168
615.0000036,0,4.168
616.0000082,0,4.168
617.0000028,0,4.168
618.0000074,0,4.168
619.000002,0,4.168
620.0000066,0,4.168
621.0000012,0,4.168
622.0000058,0,4.168
623.0000004,0,4.168
624.0000051,0,4.168
625.0000097,0,4.168
626.0000043,0,4.168
627.0000089,0,4.168
628.0000035,0,4.168
629.0000081,0,4.168
630.0000027,0,4.168
631.0000073,0,4.168
632.0000019,0,4.168
633.0000065,0,4.168
634.0000011,0,4.168
635.0000057,0,4.168
636.0000003,0,4.168
637.0000049,0,4.168
638.0000096,0,4.168
639.0000042,0,4.168
640.0000088,0,4.168
641.0000034,0,4.168
642.000008,0,4.168
643.0000026,0,4.168
644.0000072,0,4.168
645.0000018,0,4.168
646.0000064,0,4.168
647.000001,0,4.168
648.0000056,0,4.168
649.0000002,0,4.168
650.0000048,0,4.168
651.0000095,0,4.168
652.0000041,0,4.168
653.0000087,0,4.168
654.0000033,0,4.167
655.0000079,0,4.168
656.0000025,0,4.167
657.0000071,0,4.167
658.0000017,0,4.167
659.0000063,0,4.167
660.0000009,0,4.167
661.0000055,0,4.168
662.0000001,0,4.167
663.0000047,0,4.167
664.0000094,0,4.167
665.0000039,0,4.167
666.0000086,0,4.167
667.0000032,0,4.167
668.0000078,0,4.167
669.0000024,0,4.167
670.000007,0,4.167
671.0000016,0,4.167
672.0000062,0,4.167
673.0000008,0,4.167
674.0000054,0,4.167
675,0,4.167
676.0000046,0,4.167
677.0000093,0,4.167
678.0000038,0,4.167
679.0000085,0,4.167
680.0000031,0,4.167
681.0000077,0,4.167
682.0000023,0,4.167
683.0000069,0,4.167
684.0000015,0,4.167
685.0000061,0,4.167
686.0000007,0,4.167
687.0000053,0,4.167
687.9999999,0,4.167
689.0000045,0,4.167
690.0000092,0,4.167
691.0000037,0,4.167
692.0000084,0,4.167
693.000003,0,4.167
694.0000076,0,4.167
695.0000022,0,4.167
696.0000068,0,4.167
697.0000014,0,4.167
698.000006,0,4.167
699.0000006,0,4.167
700.0000052,0,4.167
700.9999998,0,4.167
702.0000044,0,4.167
703.0000091,0,4.167
704.0000036,0,4.167
705.0000083,0,4.167
706.0000028,0,4.167
707.0000075,0,4.166
708.0000021,0,4.166
709.0000067,0,4.166
710.0000013,0,4.167
711.0000059,0,4.166
712.0000005,0,4.166
713.0000051,0,4.166
714.0000097,0,4.166
715.0000043,0,4.166
716.000009,0,4.166
717.0000035,0,4.166
718.0000082,0,4.166
719.0000027,0,4.166
720.0000074,0,4.166
721.000002,0,4.166
722.0000066,0,4.166
723.0000012,0,4.166
724.0000058,0,4.166
725.0000004,0,4.166
726.000005,0,4.166
727.0000096,0,4.166
728.0000042,0,4.166
729.0000089,0,4.166
730.0000034,0,4.166
731.0000081,0,4.166
732.0000026,0,4.166
733.0000073,0,4.166
734.0000018,0,4.166
735.0000065,0,4.166
736.0000011,0,4.166
737.0000057,0,4.166
738.0000003,0,4.166
739.0000049,0,4.166
740.0000095,0,4.166
741.0000041,0,4.166
742.0000087,0,4.166
743.0000033,0,4.166
744.000008,0,4.166
745.0000025,0,4.166
746.0000072,0,4.166
747.0000017,0,4.166
748.0000064,0,4.166
749.000001,0,4.166
750.0000056,0,4.166
751.0000002,0,4.166
752.0000048,0,4.166
753.0000094,0,4.166
754.000004,0,4.166
755.0000086,0,4.166
756.0000032,0,4.166
757.0000079,0,4.166
758.0000024,0,4.166
759.0000071,0,4.166
760.0000016,0,4.166
761.0000063,0,4.166
762.0000008,0,4.166
763.0000055,0,4.166
764.0000001,0,4.165
765.0000047,0,4.165
766.0000093,0,4.166
767.0000039,0,4.165
768.0000085,0,4.166
769.0000031,0,4.165
770.0000077,0,4.165
771.0000023,0,4.165
772.000007,0,4.165
773.0000015,0,4.165
774.0000062,0,4.165
775.0000007,0,4.165
776.0000054,0,4.165
777,0,4.165
778.0000046,0,4.165
779.0000092,0,4.165
780.0000038,0,4.165
781.0000084,0,4.165
782.000003,0,4.165
783.0000076,0,4.165
784.0000022,0,4.165
785.0000069,0,4.165
786.0000014,0,4.165
787.0000061,0,4.165
788.0000006,0,4.165
789.0000053,0,4.165
789.9999999,0,4.165
791.0000045,0,4.165
792.0000091,0,4.165
793.0000037,0,4.165
794.0000083,0,4.165
795.0000029,0,4.165
796.0000075,0,4.165
797.0000021,0,4.165
798.0000068,0,4.165
799.0000013,0,4.165
800.000006,0,4.165
801.0000005,0,4.165
802.0000052,0,4.165
803.0000098,0,4.165
804.0000044,0,4.165
805.000009,0,4.165
806.0000036,0,4.165
807.0000082,0,4.165
808.0000028,0,4.165
809.0000074,0,4.165
810.000002,0,4.165
811.0000066,0,4.165
812.0000012,0,4.165
813.0000059,0,4.165
814.0000004,0,4.165
815.0000051,0,4.165
816.0000097,0,4.165
817.0000043,0,4.165
818.0000089,0,4.165
819.0000035,0,4.165
820.0000081,0,4.165
821.0000027,0,4.165
822.0000073,0,4.165
823.0000019,0,4.165
824.0000065,0,4.165
825.0000011,0,4.165
826.0000058,0,4.164
827.0000003,0,4.164
828.000005,0,4.164
829.0000096,0,4.164
830.0000042,0,4.164
831.0000088,0,4.164
832.0000034,0,4.165
833.000008,0,4.164
834.0000026,0,4.164
835.0000072,0,4.164
836.0000018,0,4.164
837.0000064,0,4.164
838.000001,0,4.164
839.0000056,0,4.164
840.0000002,0,4.164
841.0000049,0,4.164
842.0000095,0,4.164
843.0000041,0,4.164
844.0000087,0,4.164
845.0000033,0,4.164
846.0000079,0,4.164
847.0000025,0,4.164
848.0000071,0,4.164
849.0000017,0,4.164
850.0000063,0,4.164
851.0000009,0,4.164
852.0000055,0,4.164
853.0000001,0,4.164
854.0000048,0,4.164
855.0000094,0,4.164
856.000004,0,4.164
857.0000086,0,4.164
858.0000032,0,4.164
859.0000078,0,4.164
860.0000024,0,4.164
861.000007,0,4.164
862.0000016,0,4.164
863.0000062,0,4.164
864.0000008,0,4.164
865.0000054,0,4.164
866,0,4.164
867.0000046,0,4.164
868.0000093,0,4.164
869.0000039,0,4.164
870.0000085,0,4.164
871.0000031,0,4.164
872.0000077,0,4.164
873.0000023,0,4.164
874.0000069,0,4.164
875.0000015,0,4.164
876.0000061,0,4.164
877.0000007,0,4.164
878.0000053,0,4.164
878.9999999,0,4.164
880.0000045,0,4.164
881.0000092,0,4.164
882.0000038,0,4.164
883.0000084,0,4.163
884.000003,0,4.164
885.0000076,0,4.163
886.0000022,0,4.163
887.0000068,0,4.164
888.0000014,0,4.164
889.000006,0,4.164
890.0000006,0,4.164
891.0000052,0,4.164
891.9999998,0,4.163
893.0000044,0,4.164
894.0000091,0,4.163
895.0000037,0,4.163
896.0000083,0,4.164
897.0000029,0,4.163
898.0000075,0,4.163
899.0000021,0,4.163
900.0000067,0,4.163
901.0000013,0,4.163
902.0000059,0,4.163
903.0000005,0,4.163
904.0000051,0,4.163
905.0000098,0,4.163
906.0000043,0,4.163
907.000009,0,4.163
908.0000035,0,4.163
909.0000082,0,4.163
910.0000028,0,4.163
911.0000074,0,4.163
912.000002,0,4.163
913.0000066,0,4.163
914.0000012,0,4.163
915.0000058,0,4.163
916.0000004,0,4.163
917.000005,0,4.163
918.0000097,0,4.163
919.0000042,0,4.163
920.0000089,0,4.163
921.0000034,0,4.163
922.0000081,0,4.163
923.0000027,0,4.163
924.0000073,0,4.163
925.0000019,0,4.163
926.0000065,0,4.163
927.0000011,0,4.163
928.0000057,0,4.163
929.0000003,0,4.163
930.0000049,0,4.163
931.0000096,0,4.163
932.0000041,0,4.163
933.0000088,0,4.163
934.0000033,0,4.163
935.000008,0,4.163
936.0000025,0,4.163
937.0000072,0,4.163
938.0000018,0,4.163
939.0000064,0,4.163
940.000001,0,4.163
941.0000056,0,4.163
942.0000002,0,4.163
943.0000048,0,4.163
944.0000094,0,4.163
945.000004,0,4.163
946.0000087,0,4.163
947.0000032,0,4.163
948.0000079,0,4.163
949.0000024,0,4.163
950.0000071,0,4.163
951.0000017,0,4.163
952.0000063,0,4.163
953.0000009,0,4.163
954.0000055,0,4.163
955.0000001,0,4.163
956.0000047,0,4.163
957.0000093,0,4.162
958.0000039,0,4.162
959.0000086,0,4.163
960.0000031,0,4.162
961.0000078,0,4.162
962.0000023,0,4.162
963.000007,0,4.162
964.0000015,0,4.162
965.0000062,0,4.163
966.0000008,0,4.162
967.0000054,0,4.162
968,0,4.162
969.0000046,0,4.162
970.0000092,0,4.162
971.0000038,0,4.162
972.0000084,0,4.162
973.000003,0,4.162
974.0000077,0,4.162
975.0000022,0,4.162
976.0000069,0,4.162
977.0000014,0,4.162
978.0000061,0,4.162
979.0000007,0,4.162
980.0000053,0,4.162
980.9999999,0,4.162
982.0000045,0,4.162
983.0000091,0,4.162
984.0000037,0,4.162
985.0000083,0,4.162
986.0000029,0,4.162
987.0000076,0,4.162
988.0000021,0,4.162
989.0000068,0,4.162
990.0000013,0,4.162
991.000006,0,4.162
992.0000006,0,4.162
993.0000052,0,4.162
993.9999998,0,4.162
995.0000044,0,4.162
996.000009,0,4.162
997.0000036,0,4.162
998.0000082,0,4.162
999.0000028,0,4.162
1000.000007,0,4.162
1001.000002,0,4.162
1002.000007,0,4.162
1003.000001,0,4.162
1004.000006,0,4.162
1005,0,4.162
1006.000005,0,4.162
1007.00001,0,4.162
1008.000004,0,4.162
1009.000009,0,4.162
1010.000004,0,4.162
1011.000008,0,4.162
1012.000003,0,4.162
1013.000007,0,4.162
1014.000002,0,4.162
1015.000007,0,4.162
1016.000001,0,4.162
1017.000006,0,4.162
1018,0,4.162
1019.000005,0,4.162
1020.00001,0,4.162
1021.000004,0,4.162
1022.000009,0,4.162
1023.000003,0,4.162
1024.000008,0,4.162
1025.000003,0,4.162
1026.000007,0,4.162
1027.000002,0,4.162
1028.000006,0,4.161
1029.000001,0,4.161
1030.000006,0,4.162
1031,0,4.162
1032.000005,0,4.161
1033.00001,0,4.162
1034.000004,0,4.161
1035.000009,0,4.161
1036.000003,0,4.161
1037.000008,0,4.162
1038.000003,0,4.161
1039.000007,0,4.161
1040.000002,0,4.161
1041.000006,0,4.161
1042.000001,0,4.161
1043.000006,0,4.161
1044,0,4.161
1045.000005,0,4.161
1046.000009,0,4.161
1047.000004,0,4.161
1048.000009,0,4.161
1049.000003,0,4.161
1050.000008,0,4.161
1051.000002,0,4.161
1052.000007,0,4.161
1053.000002,0,4.161
1054.000006,0,4.161
1055.000001,0,4.161
1056.000005,0,4.161
1057,0,4.161
1058.000005,0,4.161
1059.000009,0,4.161
1060.000004,0,4.161
1061.000009,0,4.161
1062.000003,0,4.161
1063.000008,0,4.161
1064.000002,0,4.161
1065.000007,0,4.161
1066.000002,0,4.161
1067.000006,0,4.161
1068.000001,0,4.161
1069.000005,0,4.161
1070,0,4.161
1071.000005,0,4.161
1072.000009,0,4.161
1073.000004,0,4.161
1074.000008,0,4.161
1075.000003,0,4.161
1076.000008,0,4.161
1077.000002,0,4.161
1078.000007,0,4.161
1079.000001,0,4.161
1080.000006,0,4.161
1081.000001,0,4.161
1082.000005,0,4.161
1083,0,4.161
1084.000004,0,4.161
1085.000009,0,4.161
1086.000004,0,4.161
1087.000008,0,4.161
1088.000003,0,4.161
1089.000008,0,4.161
1090.000002,0,4.161
1091.000007,0,4.161
1092.000001,0,4.161
1093.000006,0,4.161
1094.000001,0,4.161
1095.000005,0,4.161
1096.00001,0,4.161
1097.000004,0,4.161
1098.000009,0,4.161
1099.000004,0,4.161
1100.000008,0,4.161
1101.000003,0,4.161
1102.000007,0,4.161
1103.000002,0,4.161
1104.000007,0,4.161
1105.000001,0,4.161
1106.000006,0,4.161
1107,0,4.16
1108.000005,0,4.161
1109.00001,0,4.16
1110.000004,0,4.161
1111.000009,0,4.161
1112.000003,0,4.161
1113.000008,0,4.16
1114.000003,0,4.16
1115.000007,0,4.16
1116.000002,0,4.16
1117.000007,0,4.16
1118.000001,0,4.16
1119.000006,0,4.16
1120,0,4.16
1121.000005,0,4.16
1122.00001,0,4.16
1123.000004,0,4.16
1124.000009,0,4.16
1125.000003,0,4.16
1126.000008,0,4.16
1127.000003,0,4.16
1128.000007,0,4.16
1129.000002,0,4.16
1130.000006,0,4.16
1131.000001,0,4.16
1132.000006,0,4.16
1133,0,4.16
1134.000005,0,4.16
1135.000009,0,4.16
1136.000004,0,4.16
1137.000009,0,4.16
1138.000003,0,4.16
1139.000008,0,4.16
1140.000002,0,4.16
1141.000007,0,4.16
1142.000002,0,4.16
1143.000006,0,4.16
1144.000001,0,4.16
1145.000006,0,4.16
1146,0,4.16
1147.000005,0,4.16
1148.000009,0,4.16
1149.000004,0,4.16
1150.000009,0,4.16
1151.000003,0,4.16
1152.000008,0,4.16
1153.000002,0,4.16
1154.000007,0,4.16
1155.000002,0,4.16
1156.000006,0,4.16
1157.000001,0,4.16
1158.000005,0,4.16
1159,0,4.16
1160.000005,0,4.16
1161.000009,0,4.16
1162.000004,0,4.16
1163.000008,0,4.16
1164.000003,0,4.16
1165.000008,0,4.16
1166.000002,0,4.16
1167.000007,0,4.16
1168.000001,0,4.16
1169.000006,0,4.16
1170.000001,0,4.16
1171.000005,0,4.16
1172,0,4.16
1173.000005,0,4.16
1174.000009,0,4.16
1175.000004,0,4.16
1176.000008,0,4.16
