Time (s),Current (A),Voltage (V)
0,0,4.195
1.000004634,0,4.194
2.000009269,0,4.193
3.000003844,0,4.193
4.000008479,0,4.193
5.000003055,0,4.193
6.000007689,0,4.193
7.000002265,0,4.193
8.000006899,0,4.192
9.000001475,0,4.192
10.00000611,0,4.192
11.00000069,0,4.192
12.00000532,0,4.192
12.9999999,0,4.192
14.00000453,0,4.192
15.00000916,0,4.191
16.00000374,0,4.191
17.00000837,0,4.191
18.00000295,0,4.191
19.00000758,0,4.191
20.00000216,0,4.191
21.00000679,0,4.19
22.00000137,0,4.19
23.00000601,0,4.19
24.00000058,0,4.19
25.00000522,0,4.19
25.99999979,0,4.19
27.00000443,0,4.19
28.00000906,0,4.19
29.00000364,0,4.19
30.00000827,0,4.19
31.00000285,0,4.19
32.00000748,0,4.19
33.00000206,0,4.189
34.00000669,0,4.189
35.00000127,0,4.189
36.0000059,0,4.189
37.00000048,0,4.189
38.00000511,0,4.189
39.00000975,0,4.189
40.00000432,0,4.189
41.00000896,0,4.189
42.00000353,0,4.189
43.00000817,0,4.188
44.00000274,0,4.188
45.00000738,0,4.188
46.00000195,0,4.188
47.00000659,0,4.188
48.00000116,0,4.188
49.0000058,0,4.188
50.00000037,0,4.188
51.00000501,0,4.188
52.00000964,0,4.188
53.00000422,0,4.188
54.00000885,0,4.188
55.00000343,0,4.188
56.00000806,0,4.187
57.00000264,0,4.187
58.00000727,0,4.187
59.00000185,0,4.187
60.00000648,0,4.187
61.00000106,0,4.187
62.00000569,0,4.187
63.00000027,0,4.187
64.0000049,0,4.187
65.00000954,0,4.187
66.00000411,0,4.187
67.00000875,0,4.187
68.00000332,0,4.187
69.00000796,0,4.186
70.00000253,0,4.187
71.00000717,0,4.186
72.00000174,0,4.186
73.00000638,0,4.186
74.00000095,0,4.186
75.00000559,0,4.186
76.00000016,0,4.186
77.0000048,0,4.186
78.00000943,0,4.186
79.00000401,0,4.186
80.00000864,0,4.186
81.00000322,0,4.186
82.00000785,0,4.186
83.00000243,0,4.186
84.00000706,0,4.186
85.00000164,0,4.185
86.00000627,0,4.185
87.00000085,0,4.185
88.00000548,0,4.185
89.00000006,0,4.185
90.00000469,0,4.185
91.00000933,0,4.185
92.0000039,0,4.185
93.00000854,0,4.185
94.00000311,0,4.185
95.00000775,0,4.185
96.00000232,0,4.185
97.00000696,0,4.185
